RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b23861927,Making meetings work : achieving high quality group decisions / John E. Tropman.,"Tropman, John E.",1996,"Sage Publications,",c1996.,AS6 .T743 1996,12,3/5/2012 11:44
b2641725x,"Memoirs of extraordinary popular delusions;""Extraordinary popular delusions and the madness of crowds / [by Charles Mackay] and Confusiûòn de confusiones / [by Josef Penso de la Vega]   Martin S. Fridson, editor.""","Mackay, Charles, 1814-1889.",1996,"Wiley,",1996,AZ999 .M2 1996,13,1/25/2012 10:21
b35972233,The 48 laws of power / Robert Greene.,"Greene, Robert.",2000,"Penguin Books,",2000,BD438 .G74 2000,23,9/3/2014 7:12
b43827391,The hero within : six archetypes we live by / Carol S. Pearson.,"Pearson, Carol, 1944-",1998,"HarperSanFrancisco,",c1998.,BF175.5.A72 P43 1998,13,2/3/2014 16:03
b48969412,Where good ideas come from : the natural history of innovation / Steven Johnson.,"Johnson, Steven, 1968-",2010,"Riverhead Books,",c2010.,BF408 .J56 2010,11,2/13/2014 11:43
b29573592,"Logik des Misslingens. English;""The logic of failure : recognizing and avoiding error in complex situations / Dietrich Dû?rner   [translated by Rita and Robert Kimber].""","Dû?rner, Dietrich, 1938-",1997,"Addison-Wesley Pub.,",1997,BF448 .D6713 1997,10,10/28/2013 13:03
b26827128,"Smart choices : a practical guide to making better decisions / John S. Hammond, Ralph L. Keeney, Howard Raiffa.","Hammond, John S., 1937-",1999,"Harvard Business School Press,",c1999.,BF448 .H35 1999,16,2/12/2011 11:27
b23489339,Why we do what we do : the dynamics of personal autonomy / Edward L. Deci with Richard Flaste,"Deci, Edward L.",1995,"Putnam's Sons,",c1995,BF575.A88 D45 1995,10,10/14/2013 11:13
b27864777,Who moved my cheese? : an a-mazing way to deal with change in your work and in your life / Spencer Johnson.,"Johnson, Spencer.",1998,"G.P. Putnam's Sons,",c1998.,BF637.C4 J64 1998,32,7/8/2013 13:29
b23861915,"The tao of conversation : how to talk about things that really matter, in ways that encourage new ideas, deepen intimacy, and build effective and creative working relationships / Michael Kahn.","Kahn, Michael D., 1936-",1995,"New Harbinger Publications,",c1995.,BF637.C45 K35 1995,12,12/10/2013 19:42
b23171418,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor","Fisher, Roger, 1922-2012.",1991,"Penguin Books,",1991,BF637.N4 F57 1991,40,6/4/2014 16:39
b26366939,Negotiating and influencing skills : the art of creating and claiming value / Brad McRae.,"McRae, Brad.",1998,"Sage Publications,",c1998.,BF637.N4 M39 1998,10,5/16/2011 10:18
b28997438,Bargaining for advantage : negotiation strategies for reasonable people / G. Richard Shell.,"Shell, G. Richard, 1949-",1999,"Viking,",1999,BF637.N4 S44 1999,17,3/25/2014 11:31
b26829629,The seven habits of highly effective people : restoring the character ethic / Stephen R. Covey.,"Covey, Stephen R.",1989,"Simon and Schuster,",c1989.,BF637.S8 C68 1989,39,9/8/2013 16:44
b25630751,The heart aroused : poetry and the preservation of the soul in corporate America / David Whyte.,"Whyte, David.",1994,"Currency Doubleday,",1994,BF637.S8 W46 1994,11,1/3/2012 13:32
b14107132,"Manual, a guide to the development and use of the Myers-Briggs type indicator / by Isabel Briggs Myers and Mary H. McCaulley   [editor, Robert Most]","Myers, Isabel Briggs.",1985,"Consulting Psychologists Press,",c1985,BF698.8.M94 M84 1985,20,2/3/2012 10:44
b29921685,Influence : the psychology of persuasion / Robert B. Cialdini.,"Cialdini, Robert B.",1993,"Morrow,",c1993.,BF774 .C53 1993,49,6/30/2014 13:01
b53104146,Influence : science and practice / Robert B. Cialdini.,"Cialdini, Robert B.",2009,"Pearson Education,",c2009.,BF774 .C53 2009,26,8/10/2014 12:52
b2716858x,"First things first : to live, to love, to learn, to leave a legacy / Stephen R. Covey, A. Roger Merrill, Rebecca R. Merrill.","Covey, Stephen R.",1994,"Simon & Schuster,",c1994.,BJ1581.2 .C66 1994,19,4/5/2013 11:32
b27734201,The global etiquette guide to Asia : everything you need to know for business and travel success / Dean Foster.,"Foster, Dean Allen.",2000,"Wiley,",c2000.,BJ1838 .F67 2000,14,4/19/2010 12:42
b27734213,The global etiquette guide to Europe : everything you need to know for business and travel success / Dean Foster.,"Foster, Dean Allen.",2000,"J. Wiley,",c2000.,BJ1838 .F673 2000,11,12/22/2010 15:43
b15662949,From nyet to da : understanding the Russians / Yale Richmond,"Richmond, Yale.",1992,"Intercultural Press,",c1992,DK510.23 .R53 1992,36,8/20/2012 12:39
b23845089,"Black and white racial identity : theory, research, and practice / edited by Janet E. Helms.",,1990,"Greenwood Press,",1990,E185.625 .B554 1990,10,2/21/2011 14:33
b22748556,"The greening of industrial ecosystems / Braden R. Allenby and Deanna J. Richards, editors",,1994,"National Academy Press,",1994,GE105 .G74 1994,18,9/24/2012 12:31
b27641429,Snow business : a study of the international ski industry / Simon Hudson.,"Hudson, Simon.",2000,"Cassell,",2000,GV854.35 .H84 2000,12,11/29/2010 12:01
b47042163,Survey methodology / Robert M. Groves ... [et al.].,,2009,"Wiley,",c2009.,HA31.2 .S873 2009,11,7/16/2014 21:10
b30142635,"Econometric methods / Jack Johnston, John DiNardo.","Johnston, J. (John), 1923-",1997,"McGraw-Hill,",c1997.,HB139 .J65 1997,10,3/27/2012 13:20
b36691331,Optimization modeling with spreadsheets / Kenneth R. Baker.,"Baker, Kenneth R., 1943-",2006,"Thomson Brooks/Cole,",c2006.,HB143.7 .B35 2006,14,8/19/2014 16:00
b41765710,"Games of strategy / Avinash Dixit, Susan Skeath.","Dixit, Avinash K.",2004,"W.W. Norton,",c2004.,HB144 .D59 2004,11,7/11/2014 11:03
b26829630,Hidden order : the economics of everyday life / David Friedman.,"Friedman, David D.",1996,"HarperBusiness,",c1996.,HB171 .F767 1996,15,10/5/2011 11:28
b28622558,"Economics / Richard G. Lipsey, Paul N. Courant, Christopher T.S. Ragan.","Lipsey, Richard G., 1928-",1999,"Addison-Wesley,",c1999.,HB171.5 .L733 1999,11,1/6/2010 11:25
b26793350,"Microeconomics / Robert S. Pindyck, Daniel L. Rubinfeld.","Pindyck, Robert S.",1998,"Prentice Hall,",c1998.,HB172 .P53 1998,34,8/27/2014 14:57
b38020476,"Microeconomics / Robert S. Pindyck, Daniel L. Rubinfeld.","Pindyck, Robert S.",2005,"Pearson Prentice Hall,",c2005.,HB172 .P53 2005,23,8/21/2014 15:27
b46844909,"Microeconomics / Robert S. Pindyck, Daniel L. Rubinfeld.","Pindyck, Robert S.",2009,"Pearson/Prentice Hall,",c2009.,HB172 .P53 2009,16,1/2/2014 15:18
b27524243,"Macroeconomics / Andrew B. Abel, Ben S. Bernanke.","Abel, Andrew B., 1952-",1998,"Addison-Wesley,",c1998.,HB172.5 .A24 1998,16,1/23/2012 20:23
b55091301,The age of oversupply : overcoming the greatest challenge to the global economy / Daniel Alpert.,"Alpert, Daniel (Economist)",2013,,,HB241 .A557 2013,10,5/20/2014 13:29
b29592203,A good hard kick in the ass : basic training for entrepreneurs / Rob Adams.,"Adams, Rob, 1959-",2002,"Crown Business,",c2002.,HB615 .A33 2002,11,9/15/2010 16:16
b35965836,"Entrepreneurship : successfully launching new ventures / Bruce R. Barringer, R. Duane Ireland.","Barringer, Bruce R.",2006,"Pearson Prentice Hall,",c2006.,HB615 .B374 2006,14,12/19/2013 9:33
